aws-cli-s3-8MiB	1371	1204	177
aws-cli-s3-16MiB	1425	1296	224
aws-cli-s3-32MiB	1486	1465	293
aws-cli-s3-64MiB	1828	1864	491
aws-cli-s3-128MiB	2267	2075	870
aws-cli-s3-256MiB	3189	2526	1617
aws-cli-s3-512MiB	5332	3599	3370
aws-cli-s3-1GiB	8911	5699	6066
aws-cli-s3-2GiB	16063	9592	11408
aws-cli-s3-16MiBx8	2291	2116	857
aws-cli-s3-64MiBx8	5221	3634	3144
aws-cli-s3-64MiBx16	8657	5487	6008
goofys3-8MiB	80	38	22
goofys3-16MiB	138	77	37
goofys3-32MiB	209	144	35
goofys3-64MiB	375	267	94
goofys3-128MiB	659	477	161
goofys3-256MiB	1401	1011	386
goofys3-512MiB	2564	1904	665
goofys3-1GiB	5227	3872	1389
goofys3-2GiB	14025	8318	4059
goofys3-16MiBx8	603	851	252
goofys3-64MiBx8	1818	2833	704
goofys3-64MiBx16	3754	5522	1522
s3fs3-8MiB	488	42	27
s3fs3-16MiB	426	60	35
s3fs3-32MiB	619	142	71
s3fs3-64MiB	689	175	85
s3fs3-128MiB	1596	525	248
s3fs3-256MiB	2848	1011	445
s3fs3-512MiB	5545	2076	980
s3fs3-1GiB	10734	4283	1934
s3fs3-2GiB	26456	8811	3921
s3fs3-16MiBx8	1770	753	334
s3fs3-64MiBx8	5502	2918	1416
s3fs3-64MiBx16	10403	5766	2772
