aws-cli-s3-8MiB	9171	442	94
aws-cli-s3-16MiB	14219	504	135
aws-cli-s3-32MiB	19361	627	222
aws-cli-s3-64MiB	28327	852	405
aws-cli-s3-128MiB	51157	1308	791
aws-cli-s3-256MiB	85212	2046	1559
aws-cli-s3-512MiB	158789	3770	2980
aws-cli-s3-1GiB	295348	7205	5952
aws-cli-s3-2GiB	618137	25078	22277
aws-cli-s3-16MiBx8	45867	1281	807
aws-cli-s3-64MiBx8	156995	3832	3113
aws-cli-s3-64MiBx16	291485	8222	6706
s3fs3-8MiB	10343	23	13
s3fs3-16MiB	13464	45	12
s3fs3-32MiB	21999	69	30
s3fs3-64MiB	39577	139	48
s3fs3-128MiB	77154	274	100
s3fs3-256MiB	136664	513	234
s3fs3-512MiB	260209	1036	466
s3fs3-1GiB	504468	2138	845
s3fs3-2GiB	964880	6269	3271
s3fs3-16MiBx8	77409	279	144
s3fs3-64MiBx8	239634	1115	504
s3fs3-64MiBx16	474957	2361	944
